model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,iphone-14,knowable,5,0,0.0,0,799.0,,52.92,0.216
gemma2:2b,iphone-15-pro,knowable,5,0,0.0,0,999.0,,50.22,0.19
gemma2:2b,iphone-18-pro,unknowable,5,0,0.0,0,1199.0,,44.29,0.189
gemma2:2b,iphone-18-pro-max,unknowable,5,0,0.0,0,1299.0,,46.15,0.179
gemma2:2b,iphone-18-pro-storage,unknowable,5,0,0.0,0,256.0,,50.37,0.204
gemma2:2b,iphone-19-ultra,unknowable,5,0,0.0,0,-1.0,,46.49,0.18
gemma2:2b,iphone-duo,unknowable,5,0,0.0,0,1999.0,,51.47,0.207
gemma2:2b,iphone-original,knowable,5,0,0.0,0,499.0,,50.51,0.2
llama3.2:3b,iphone-14,knowable,5,0,0.0,0,799.0,,38.02,0.062
llama3.2:3b,iphone-15-pro,knowable,5,0,0.0,0,999.0,,47.51,0.065
llama3.2:3b,iphone-18-pro,unknowable,5,0,0.0,0,1199.0,,42.08,0.063
llama3.2:3b,iphone-18-pro-max,unknowable,5,0,0.0,0,1299.0,,45.82,0.076
llama3.2:3b,iphone-18-pro-storage,unknowable,5,0,0.0,0,256.0,,46.41,0.071
llama3.2:3b,iphone-19-ultra,unknowable,5,0,0.0,0,-1.0,,43.87,0.081
llama3.2:3b,iphone-duo,unknowable,5,0,0.0,0,1999.0,,43.46,0.068
llama3.2:3b,iphone-original,knowable,5,5,1.0,1,499.0,499.0,45.25,0.069
phi3.5:3.8b,iphone-14,knowable,5,0,0.0,0,799.0,,27.69,0.096
phi3.5:3.8b,iphone-15-pro,knowable,5,0,0.0,0,999.0,,26.98,0.09
phi3.5:3.8b,iphone-18-pro,unknowable,5,0,0.0,0,1199.0,,28.28,0.084
phi3.5:3.8b,iphone-18-pro-max,unknowable,5,0,0.0,0,1299.0,,28.34,0.088
phi3.5:3.8b,iphone-18-pro-storage,unknowable,5,0,0.0,0,256.0,,28.43,0.094
phi3.5:3.8b,iphone-19-ultra,unknowable,5,0,0.0,0,-1.0,,28.14,0.092
phi3.5:3.8b,iphone-duo,unknowable,5,0,0.0,0,1999.0,,28.61,0.098
phi3.5:3.8b,iphone-original,knowable,5,5,1.0,1,499.0,499.0,27.81,0.085
qwen2.5:3b,iphone-14,knowable,5,0,0.0,0,799.0,,43.68,0.057
qwen2.5:3b,iphone-15-pro,knowable,5,0,0.0,0,999.0,,46.64,0.061
qwen2.5:3b,iphone-18-pro,unknowable,5,0,0.0,0,1199.0,,44.69,0.051
qwen2.5:3b,iphone-18-pro-max,unknowable,5,0,0.0,0,1299.0,,48.77,0.059
qwen2.5:3b,iphone-18-pro-storage,unknowable,5,0,0.0,0,256.0,,47.26,0.06
qwen2.5:3b,iphone-19-ultra,unknowable,5,0,0.0,0,-1.0,,46.39,0.068
qwen2.5:3b,iphone-duo,unknowable,5,0,0.0,0,1999.0,,45.41,0.06
qwen2.5:3b,iphone-original,knowable,5,0,0.0,0,499.0,,46.24,0.07
