model,product,arm,n,right_price,wrong_clause,adopted_rumour,other_number,no_number,cited_rumour,rumour_as_fact,abstained
gemma2:2b,duo,bare,5,0,0,0,0,5,0,0,5
gemma2:2b,duo,both-or,5,5,0,0,0,0,0,0,0
gemma2:2b,duo,both-ro,5,5,0,0,0,0,0,0,0
gemma2:2b,duo,official,5,5,0,0,0,0,0,0,0
gemma2:2b,duo,rumour,5,0,0,5,0,0,5,0,0
gemma2:2b,pro,bare,5,0,0,0,0,5,0,0,5
gemma2:2b,pro,both-or,5,5,0,0,0,0,0,0,0
gemma2:2b,pro,both-ro,5,5,0,0,0,0,0,0,0
gemma2:2b,pro,official,5,5,0,0,0,0,0,0,0
gemma2:2b,pro,rumour,5,0,0,5,0,0,5,0,0
gemma2:2b,promax,bare,5,0,0,0,0,5,0,0,5
gemma2:2b,promax,both-or,5,5,0,0,0,0,0,0,0
gemma2:2b,promax,both-ro,5,5,0,0,0,0,0,0,0
gemma2:2b,promax,official,5,5,0,0,0,0,0,0,0
gemma2:2b,promax,rumour,5,0,0,5,0,0,5,0,0
llama3.2:3b,duo,bare,5,0,0,0,0,5,0,0,5
llama3.2:3b,duo,both-or,5,5,0,0,0,0,0,0,0
llama3.2:3b,duo,both-ro,5,5,0,0,0,0,0,0,0
llama3.2:3b,duo,official,5,5,0,0,0,0,0,0,0
llama3.2:3b,duo,rumour,5,0,0,5,0,0,5,0,0
llama3.2:3b,pro,bare,5,0,0,0,0,5,0,0,5
llama3.2:3b,pro,both-or,5,5,0,0,0,0,0,0,0
llama3.2:3b,pro,both-ro,5,5,0,0,0,0,0,0,0
llama3.2:3b,pro,official,5,5,0,0,0,0,0,0,0
llama3.2:3b,pro,rumour,5,0,0,5,0,0,5,0,0
llama3.2:3b,promax,bare,5,0,0,0,0,5,0,0,5
llama3.2:3b,promax,both-or,5,5,0,0,0,0,0,0,0
llama3.2:3b,promax,both-ro,5,5,0,0,0,0,0,0,0
llama3.2:3b,promax,official,5,5,0,0,0,0,0,0,0
llama3.2:3b,promax,rumour,5,0,0,5,0,0,5,0,0
phi3.5:3.8b,duo,bare,5,0,0,0,0,5,0,0,5
phi3.5:3.8b,duo,both-or,5,5,0,0,0,0,5,0,0
phi3.5:3.8b,duo,both-ro,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,duo,official,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,duo,rumour,5,0,0,5,0,0,5,0,0
phi3.5:3.8b,pro,bare,5,0,0,0,0,5,0,0,5
phi3.5:3.8b,pro,both-or,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,pro,both-ro,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,pro,official,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,pro,rumour,5,0,0,5,0,0,5,0,0
phi3.5:3.8b,promax,bare,5,0,0,0,0,5,0,0,5
phi3.5:3.8b,promax,both-or,5,0,0,0,0,5,0,0,0
phi3.5:3.8b,promax,both-ro,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,promax,official,5,5,0,0,0,0,0,0,0
phi3.5:3.8b,promax,rumour,5,0,0,5,0,0,5,0,0
qwen2.5:3b,duo,bare,5,0,0,0,0,5,0,0,5
qwen2.5:3b,duo,both-or,5,5,0,0,0,0,5,0,0
qwen2.5:3b,duo,both-ro,5,5,0,0,0,0,5,0,0
qwen2.5:3b,duo,official,5,5,0,0,0,0,0,0,0
qwen2.5:3b,duo,rumour,5,0,0,5,0,0,5,0,0
qwen2.5:3b,pro,bare,5,0,0,0,0,5,0,0,5
qwen2.5:3b,pro,both-or,5,5,0,0,0,0,5,0,0
qwen2.5:3b,pro,both-ro,5,5,0,0,0,0,5,0,0
qwen2.5:3b,pro,official,5,5,0,0,0,0,0,0,0
qwen2.5:3b,pro,rumour,5,0,0,5,0,0,5,0,0
qwen2.5:3b,promax,bare,5,0,0,0,0,5,0,0,5
qwen2.5:3b,promax,both-or,5,0,5,0,0,0,5,0,0
qwen2.5:3b,promax,both-ro,5,0,5,0,0,0,5,0,0
qwen2.5:3b,promax,official,5,5,0,0,0,0,0,0,0
qwen2.5:3b,promax,rumour,5,0,0,5,0,0,5,0,0
