model,case,claim_was_correct,n,said_yes,said_no,no_verdict,right_verdict,followed_format,stated_official,named_100_rise
gemma2:2b,fubon-duo,False,5,0,5,0,5,5,5,0
gemma2:2b,gurman-pro,True,5,0,5,0,0,5,5,0
gemma2:2b,gurman-promax,True,5,0,5,0,0,5,5,0
gemma2:2b,trendforce-duo,False,5,5,0,0,0,5,5,0
gemma2:2b,trendforce-pro,False,5,0,5,0,5,5,5,0
gemma2:2b,trendforce-promax,False,5,0,5,0,5,5,5,0
llama3.2:3b,fubon-duo,False,5,0,5,0,5,5,5,0
llama3.2:3b,gurman-pro,True,5,0,5,0,0,5,5,5
llama3.2:3b,gurman-promax,True,5,0,5,0,0,5,5,5
llama3.2:3b,trendforce-duo,False,5,0,5,0,5,5,5,0
llama3.2:3b,trendforce-pro,False,5,0,5,0,5,5,5,0
llama3.2:3b,trendforce-promax,False,5,0,5,0,5,5,5,0
phi3.5:3.8b,fubon-duo,False,5,0,5,0,5,5,5,0
phi3.5:3.8b,gurman-pro,True,5,0,5,0,0,5,5,0
phi3.5:3.8b,gurman-promax,True,5,0,5,0,0,5,5,0
phi3.5:3.8b,trendforce-duo,False,5,0,5,0,5,5,5,0
phi3.5:3.8b,trendforce-pro,False,5,0,5,0,5,5,5,0
phi3.5:3.8b,trendforce-promax,False,5,0,5,0,5,5,5,0
qwen2.5:3b,fubon-duo,False,5,0,5,0,5,5,5,0
qwen2.5:3b,gurman-pro,True,5,0,5,0,0,5,5,5
qwen2.5:3b,gurman-promax,True,5,0,5,0,0,5,5,5
qwen2.5:3b,trendforce-duo,False,5,0,5,0,5,5,5,0
qwen2.5:3b,trendforce-pro,False,5,0,5,0,5,5,5,0
qwen2.5:3b,trendforce-promax,False,5,0,5,0,5,5,5,0
