model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,duo-bare,bare,5,0,0.0,0,1999.0,,46.78,0.199
gemma2:2b,duo-both-or,both-or,5,5,1.0,1,1999.0,1999.0,48.48,0.214
gemma2:2b,duo-both-ro,both-ro,5,5,1.0,1,1999.0,1999.0,50.81,0.214
gemma2:2b,duo-official,official,5,5,1.0,1,1999.0,1999.0,43.37,0.209
gemma2:2b,duo-rumour,rumour,5,0,0.0,1,1999.0,2099.0,46.39,0.201
gemma2:2b,pro-bare,bare,5,0,0.0,0,1199.0,,48.35,0.186
gemma2:2b,pro-both-or,both-or,5,5,1.0,1,1199.0,1199.0,47.48,0.215
gemma2:2b,pro-both-ro,both-ro,5,5,1.0,1,1199.0,1199.0,51.53,0.215
gemma2:2b,pro-official,official,5,5,1.0,1,1199.0,1199.0,49.73,0.21
gemma2:2b,pro-rumour,rumour,5,0,0.0,1,1199.0,1299.0,47.22,0.216
gemma2:2b,promax-bare,bare,5,0,0.0,0,1299.0,,45.14,0.192
gemma2:2b,promax-both-or,both-or,5,5,1.0,1,1299.0,1299.0,47.97,0.21
gemma2:2b,promax-both-ro,both-ro,5,5,1.0,1,1299.0,1299.0,43.37,0.206
gemma2:2b,promax-official,official,5,5,1.0,1,1299.0,1299.0,52.03,0.221
gemma2:2b,promax-rumour,rumour,5,0,0.0,1,1299.0,1349.0,47.61,0.194
gemma2:2b,verdict-fubon-duo,verdict,5,5,1.0,1,1999.0,1999.0,46.75,0.206
gemma2:2b,verdict-gurman-pro,verdict,5,5,1.0,1,1199.0,1199.0,50.72,0.231
gemma2:2b,verdict-gurman-promax,verdict,5,5,1.0,1,1299.0,1299.0,50.6,0.22
gemma2:2b,verdict-trendforce-duo,verdict,5,5,1.0,1,1999.0,1999.0,43.8,0.211
gemma2:2b,verdict-trendforce-pro,verdict,5,5,1.0,1,1199.0,1199.0,51.51,0.214
gemma2:2b,verdict-trendforce-promax,verdict,5,5,1.0,1,1299.0,1299.0,51.09,0.222
llama3.2:3b,duo-bare,bare,5,0,0.0,0,1999.0,,32.17,0.085
llama3.2:3b,duo-both-or,both-or,5,5,1.0,1,1999.0,1999.0,41.1,0.068
llama3.2:3b,duo-both-ro,both-ro,5,5,1.0,1,1999.0,1999.0,34.74,0.079
llama3.2:3b,duo-official,official,5,5,1.0,1,1999.0,1999.0,31.23,0.081
llama3.2:3b,duo-rumour,rumour,5,0,0.0,1,1999.0,2099.0,31.91,0.089
llama3.2:3b,pro-bare,bare,5,0,0.0,0,1199.0,,31.8,0.082
llama3.2:3b,pro-both-or,both-or,5,5,1.0,1,1199.0,1199.0,30.67,0.085
llama3.2:3b,pro-both-ro,both-ro,5,5,1.0,1,1199.0,1199.0,33.44,0.082
llama3.2:3b,pro-official,official,5,5,1.0,1,1199.0,1199.0,31.61,0.092
llama3.2:3b,pro-rumour,rumour,5,0,0.0,1,1199.0,1299.0,31.79,0.087
llama3.2:3b,promax-bare,bare,5,0,0.0,0,1299.0,,34.31,0.087
llama3.2:3b,promax-both-or,both-or,5,5,1.0,1,1299.0,1299.0,32.58,0.093
llama3.2:3b,promax-both-ro,both-ro,5,5,1.0,1,1299.0,1299.0,33.92,0.085
llama3.2:3b,promax-official,official,5,5,1.0,1,1299.0,1299.0,31.65,0.084
llama3.2:3b,promax-rumour,rumour,5,0,0.0,1,1299.0,1349.0,32.56,0.086
llama3.2:3b,verdict-fubon-duo,verdict,5,5,1.0,1,1999.0,1999.0,42.9,0.075
llama3.2:3b,verdict-gurman-pro,verdict,5,5,1.0,1,1199.0,1199.0,42.74,0.077
llama3.2:3b,verdict-gurman-promax,verdict,5,5,1.0,1,1299.0,1299.0,40.39,0.062
llama3.2:3b,verdict-trendforce-duo,verdict,5,5,1.0,1,1999.0,1999.0,45.04,0.087
llama3.2:3b,verdict-trendforce-pro,verdict,5,5,1.0,1,1199.0,1199.0,43.31,0.075
llama3.2:3b,verdict-trendforce-promax,verdict,5,5,1.0,1,1299.0,1299.0,42.44,0.08
phi3.5:3.8b,duo-bare,bare,5,0,0.0,0,1999.0,,22.9,0.101
phi3.5:3.8b,duo-both-or,both-or,5,5,1.0,1,1999.0,1999.0,26.14,0.098
phi3.5:3.8b,duo-both-ro,both-ro,5,5,1.0,1,1999.0,1999.0,22.87,0.097
phi3.5:3.8b,duo-official,official,5,5,1.0,1,1999.0,1999.0,24.02,0.093
phi3.5:3.8b,duo-rumour,rumour,5,0,0.0,1,1999.0,2099.0,24.08,0.076
phi3.5:3.8b,pro-bare,bare,5,0,0.0,0,1199.0,,26.81,0.09
phi3.5:3.8b,pro-both-or,both-or,5,5,1.0,1,1199.0,1199.0,21.25,0.086
phi3.5:3.8b,pro-both-ro,both-ro,5,5,1.0,1,1199.0,1199.0,20.08,0.103
phi3.5:3.8b,pro-official,official,5,5,1.0,1,1199.0,1199.0,25.01,0.102
phi3.5:3.8b,pro-rumour,rumour,5,0,0.0,1,1199.0,1299.0,23.0,0.101
phi3.5:3.8b,promax-bare,bare,5,0,0.0,0,1299.0,,23.19,0.093
phi3.5:3.8b,promax-both-or,both-or,5,0,0.0,0,1299.0,,21.16,0.092
phi3.5:3.8b,promax-both-ro,both-ro,5,5,1.0,1,1299.0,1299.0,21.65,0.1
phi3.5:3.8b,promax-official,official,5,5,1.0,1,1299.0,1299.0,22.59,0.101
phi3.5:3.8b,promax-rumour,rumour,5,0,0.0,1,1299.0,1349.0,21.0,0.1
phi3.5:3.8b,verdict-fubon-duo,verdict,5,5,1.0,1,1999.0,1999.0,22.62,0.096
phi3.5:3.8b,verdict-gurman-pro,verdict,5,5,1.0,1,1199.0,1199.0,23.23,0.091
phi3.5:3.8b,verdict-gurman-promax,verdict,5,5,1.0,1,1299.0,1299.0,22.23,0.095
phi3.5:3.8b,verdict-trendforce-duo,verdict,5,5,1.0,1,1999.0,1999.0,25.59,0.1
phi3.5:3.8b,verdict-trendforce-pro,verdict,5,5,1.0,1,1199.0,1199.0,24.75,0.093
phi3.5:3.8b,verdict-trendforce-promax,verdict,5,5,1.0,1,1299.0,1299.0,24.78,0.105
qwen2.5:3b,duo-bare,bare,5,0,0.0,0,1999.0,,44.56,0.068
qwen2.5:3b,duo-both-or,both-or,5,5,1.0,1,1999.0,1999.0,48.14,0.062
qwen2.5:3b,duo-both-ro,both-ro,5,5,1.0,1,1999.0,1999.0,47.82,0.062
qwen2.5:3b,duo-official,official,5,5,1.0,1,1999.0,1999.0,48.33,0.058
qwen2.5:3b,duo-rumour,rumour,5,0,0.0,1,1999.0,2099.0,46.52,0.062
qwen2.5:3b,pro-bare,bare,5,0,0.0,0,1199.0,,43.0,0.059
qwen2.5:3b,pro-both-or,both-or,5,5,1.0,1,1199.0,1199.0,48.81,0.066
qwen2.5:3b,pro-both-ro,both-ro,5,5,1.0,1,1199.0,1199.0,47.33,0.062
qwen2.5:3b,pro-official,official,5,5,1.0,1,1199.0,1199.0,41.35,0.062
qwen2.5:3b,pro-rumour,rumour,5,0,0.0,1,1199.0,1299.0,47.32,0.063
qwen2.5:3b,promax-bare,bare,5,0,0.0,0,1299.0,,47.09,0.06
qwen2.5:3b,promax-both-or,both-or,5,0,0.0,1,1299.0,1199.0,48.74,0.065
qwen2.5:3b,promax-both-ro,both-ro,5,0,0.0,1,1299.0,1199.0,47.65,0.055
qwen2.5:3b,promax-official,official,5,5,1.0,1,1299.0,1299.0,44.96,0.063
qwen2.5:3b,promax-rumour,rumour,5,0,0.0,1,1299.0,1349.0,45.34,0.064
qwen2.5:3b,verdict-fubon-duo,verdict,5,5,1.0,1,1999.0,1999.0,47.26,0.072
qwen2.5:3b,verdict-gurman-pro,verdict,5,5,1.0,1,1199.0,1199.0,46.8,0.071
qwen2.5:3b,verdict-gurman-promax,verdict,5,5,1.0,1,1299.0,1299.0,46.65,0.062
qwen2.5:3b,verdict-trendforce-duo,verdict,5,5,1.0,1,1999.0,1999.0,45.44,0.067
qwen2.5:3b,verdict-trendforce-pro,verdict,5,5,1.0,1,1199.0,1199.0,46.32,0.06
qwen2.5:3b,verdict-trendforce-promax,verdict,5,5,1.0,1,1299.0,1299.0,47.1,0.073
