model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,large-long-high-bracket-anon,anon,5,0,0.0,1,3.0,1.0,52.51,0.211
gemma2:2b,large-long-high-bracket-named,named,5,0,0.0,1,3.0,1.0,52.06,0.209
gemma2:2b,large-short-high-bracket-anon,anon,5,5,1.0,1,1.0,1.0,52.21,0.215
gemma2:2b,large-short-high-bracket-named,named,5,5,1.0,1,1.0,1.0,50.38,0.229
gemma2:2b,mid-decade-anon,anon,5,0,0.0,1,2.0,1.0,51.91,0.208
gemma2:2b,mid-decade-named,named,5,0,0.0,1,2.0,1.0,51.79,0.224
gemma2:2b,mid-long-low-bracket-anon,anon,5,0,0.0,1,3.0,1.0,51.74,0.23
gemma2:2b,mid-long-low-bracket-named,named,5,0,0.0,1,3.0,1.0,51.81,0.206
gemma2:2b,seed-only-anon,anon,5,5,1.0,1,2.0,2.0,52.3,0.204
gemma2:2b,seed-only-named,named,5,0,0.0,1,2.0,1.0,52.27,0.208
gemma2:2b,small-long-low-bracket-anon,anon,5,0,0.0,1,3.0,2.0,51.66,0.221
gemma2:2b,small-long-low-bracket-named,named,5,0,0.0,1,3.0,2.0,52.28,0.213
gemma2:2b,small-short-anon,anon,5,0,0.0,1,1.0,3.0,52.32,0.213
gemma2:2b,small-short-named,named,5,0,0.0,1,1.0,3.0,52.33,0.202
gemma2:2b,standard-anon,anon,5,5,1.0,1,2.0,2.0,50.11,0.226
gemma2:2b,standard-named,named,5,5,1.0,1,2.0,2.0,51.68,0.226
llama3.2:3b,large-long-high-bracket-anon,anon,5,5,1.0,1,3.0,3.0,44.72,0.085
llama3.2:3b,large-long-high-bracket-named,named,5,0,0.0,1,3.0,2.0,37.89,0.087
llama3.2:3b,large-short-high-bracket-anon,anon,5,0,0.0,1,1.0,2.0,40.31,0.158
llama3.2:3b,large-short-high-bracket-named,named,5,0,0.0,1,1.0,2.0,38.92,0.123
llama3.2:3b,mid-decade-anon,anon,5,0,0.0,1,2.0,1.0,46.08,0.079
llama3.2:3b,mid-decade-named,named,5,5,1.0,1,2.0,2.0,43.94,0.075
llama3.2:3b,mid-long-low-bracket-anon,anon,5,5,1.0,1,3.0,3.0,45.27,0.073
llama3.2:3b,mid-long-low-bracket-named,named,5,1,0.2,2,3.0,2.0,48.68,0.072
llama3.2:3b,seed-only-anon,anon,5,0,0.0,1,2.0,1.0,45.9,0.078
llama3.2:3b,seed-only-named,named,5,0,0.0,1,2.0,1.0,38.87,0.145
llama3.2:3b,small-long-low-bracket-anon,anon,5,0,0.0,1,3.0,2.0,45.75,0.035
llama3.2:3b,small-long-low-bracket-named,named,5,0,0.0,1,3.0,2.0,48.85,0.028
llama3.2:3b,small-short-anon,anon,5,0,0.0,1,1.0,3.0,46.3,0.033
llama3.2:3b,small-short-named,named,5,0,0.0,1,1.0,2.0,46.88,0.069
llama3.2:3b,standard-anon,anon,5,5,1.0,1,2.0,2.0,42.14,0.112
llama3.2:3b,standard-named,named,5,5,1.0,1,2.0,2.0,39.85,0.083
phi3.5:3.8b,large-long-high-bracket-anon,anon,5,3,0.6,2,3.0,3.0,23.95,1.055
