model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,compound-interest-anchored,anchored,10,0,0.0,1,16288.95,15000.0,50.2,0.196
gemma2:2b,compound-interest-neutral,neutral,10,0,0.0,1,16288.95,16776.77,47.34,0.217
gemma2:2b,compound-interest-primed,primed,10,0,0.0,1,16288.95,15000.0,43.16,0.22
gemma2:2b,effective-annual-rate-anchored,anchored,10,0,0.0,1,12.68,13.0,52.37,0.195
gemma2:2b,effective-annual-rate-neutral,neutral,10,0,0.0,1,12.68,13.1,51.32,0.183
gemma2:2b,effective-annual-rate-primed,primed,10,0,0.0,1,12.68,13.1,52.73,0.189
gemma2:2b,marginal-tax-anchored,anchored,10,0,0.0,1,6307.5,15480.0,51.03,0.196
gemma2:2b,marginal-tax-neutral,neutral,10,0,0.0,1,6307.5,19888.0,48.58,0.19
gemma2:2b,marginal-tax-primed,primed,10,0,0.0,1,6307.5,19988.0,50.74,0.199
gemma2:2b,mortgage-payment-anchored,anchored,10,0,0.0,1,1798.65,1800.0,52.48,0.193
gemma2:2b,mortgage-payment-neutral,neutral,10,0,0.0,1,1798.65,2277.77,49.39,0.191
gemma2:2b,mortgage-payment-primed,primed,10,0,0.0,1,1798.65,1800.0,52.08,0.188
gemma2:2b,percent-increase-anchored,anchored,10,0,0.0,1,21.18,21.0,49.9,0.208
gemma2:2b,percent-increase-neutral,neutral,10,0,0.0,1,21.18,21.0,46.51,0.2
gemma2:2b,percent-increase-primed,primed,10,0,0.0,1,21.18,21.0,49.55,0.206
gemma2:2b,portfolio-bonds-anchored,anchored,10,10,1.0,1,12750.0,12750.0,49.22,0.204
gemma2:2b,portfolio-bonds-neutral,neutral,10,10,1.0,1,12750.0,12750.0,45.63,0.2
gemma2:2b,portfolio-bonds-primed,primed,10,10,1.0,1,12750.0,12750.0,48.68,0.206
gemma2:2b,subscription-savings-anchored,anchored,10,0,0.0,1,36.88,106.01,48.3,0.207
gemma2:2b,subscription-savings-neutral,neutral,10,0,0.0,1,36.88,106.0,49.42,0.194
gemma2:2b,subscription-savings-primed,primed,10,0,0.0,1,36.88,106.01,49.19,0.195
gemma2:2b,tip-split-anchored,anchored,10,0,0.0,1,34.38,34.44,41.92,0.228
gemma2:2b,tip-split-neutral,neutral,10,0,0.0,1,34.38,34.44,44.34,0.215
gemma2:2b,tip-split-primed,primed,10,10,1.0,1,34.38,34.37,49.2,0.211
llama3.2:3b,compound-interest-anchored,anchored,10,1,0.1,2,16288.95,16288.9,47.69,0.075
llama3.2:3b,compound-interest-neutral,neutral,10,10,1.0,1,16288.95,16289.0,46.73,0.069
llama3.2:3b,compound-interest-primed,primed,10,10,1.0,1,16288.95,16289.0,47.96,0.079
llama3.2:3b,effective-annual-rate-anchored,anchored,10,0,0.0,1,12.68,12.65,47.87,0.07
llama3.2:3b,effective-annual-rate-neutral,neutral,10,0,0.0,1,12.68,12.65,47.84,0.067
llama3.2:3b,effective-annual-rate-primed,primed,10,0,0.0,2,12.68,12.27,47.61,0.076
llama3.2:3b,marginal-tax-anchored,anchored,10,0,0.0,1,6307.5,6295.0,47.03,0.072
llama3.2:3b,marginal-tax-neutral,neutral,10,0,0.0,1,6307.5,6300.0,47.1,0.071
llama3.2:3b,marginal-tax-primed,primed,10,0,0.0,1,6307.5,6314.3,47.23,0.072
llama3.2:3b,mortgage-payment-anchored,anchored,10,0,0.0,1,1798.65,300.0,46.44,0.073
llama3.2:3b,mortgage-payment-neutral,neutral,10,0,0.0,1,1798.65,1767.29,46.93,0.064
llama3.2:3b,mortgage-payment-primed,primed,10,0,0.0,1,1798.65,0.0,46.42,0.061
llama3.2:3b,percent-increase-anchored,anchored,10,10,1.0,1,21.18,21.18,44.96,0.072
llama3.2:3b,percent-increase-neutral,neutral,10,10,1.0,1,21.18,21.18,46.44,0.064
llama3.2:3b,percent-increase-primed,primed,10,10,1.0,1,21.18,21.18,46.21,0.061
llama3.2:3b,portfolio-bonds-anchored,anchored,10,10,1.0,1,12750.0,12750.0,45.3,0.07
llama3.2:3b,portfolio-bonds-neutral,neutral,10,10,1.0,1,12750.0,12750.0,45.25,0.056
llama3.2:3b,portfolio-bonds-primed,primed,10,10,1.0,1,12750.0,12750.0,45.25,0.054
llama3.2:3b,subscription-savings-anchored,anchored,10,0,0.0,1,36.88,37.88,45.76,0.066
llama3.2:3b,subscription-savings-neutral,neutral,10,0,0.0,1,36.88,37.88,45.47,0.067
llama3.2:3b,subscription-savings-primed,primed,10,0,0.0,1,36.88,37.88,46.49,0.072
llama3.2:3b,tip-split-anchored,anchored,10,10,1.0,1,34.38,34.37,46.41,0.072
llama3.2:3b,tip-split-neutral,neutral,10,0,0.0,1,34.38,34.35,46.06,0.081
llama3.2:3b,tip-split-primed,primed,10,10,1.0,1,34.38,34.37,44.7,0.069
phi3.5:3.8b,compound-interest-anchored,anchored,10,0,0.0,1,16288.95,16288.0,28.76,0.093
phi3.5:3.8b,compound-interest-neutral,neutral,10,0,0.0,1,16288.95,16288.0,27.7,0.096
phi3.5:3.8b,compound-interest-primed,primed,10,0,0.0,1,16288.95,16288.0,28.08,0.1
phi3.5:3.8b,effective-annual-rate-anchored,anchored,10,10,1.0,1,12.68,12.68,28.74,0.096
phi3.5:3.8b,effective-annual-rate-neutral,neutral,10,10,1.0,1,12.68,12.68,24.84,0.101
phi3.5:3.8b,effective-annual-rate-primed,primed,10,10,1.0,1,12.68,12.68,27.26,0.095
phi3.5:3.8b,marginal-tax-anchored,anchored,10,0,0.0,1,6307.5,6297.5,24.0,0.092
phi3.5:3.8b,marginal-tax-neutral,neutral,10,0,0.0,1,6307.5,7450.5,27.33,0.1
phi3.5:3.8b,marginal-tax-primed,primed,10,0,0.0,1,6307.5,7450.5,27.3,0.1
phi3.5:3.8b,mortgage-payment-anchored,anchored,10,0,0.0,1,1798.65,1793.64,24.05,0.083
phi3.5:3.8b,mortgage-payment-neutral,neutral,10,0,0.0,2,1798.65,1796.39,24.34,0.083
phi3.5:3.8b,mortgage-payment-primed,primed,10,0,0.0,1,1798.65,1774.7,24.44,0.088
phi3.5:3.8b,percent-increase-anchored,anchored,10,10,1.0,1,21.18,21.18,28.72,0.088
phi3.5:3.8b,percent-increase-neutral,neutral,10,10,1.0,1,21.18,21.18,28.24,0.093
phi3.5:3.8b,percent-increase-primed,primed,10,10,1.0,1,21.18,21.18,29.33,0.099
phi3.5:3.8b,portfolio-bonds-anchored,anchored,10,10,1.0,1,12750.0,12750.0,29.38,0.094
