model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,allocation,allocation,10,10,1.0,1,12750.0,12750.0,50.59,0.188
gemma2:2b,compound-interest,growth,10,0,0.0,1,16288.95,16776.77,52.27,0.182
gemma2:2b,effective-annual-rate,growth,10,0,0.0,1,12.68,13.1,51.56,0.183
gemma2:2b,marginal-tax,tax,10,0,0.0,1,6307.5,19888.0,51.59,0.202
gemma2:2b,mortgage-payment,amortization,10,0,0.0,1,1798.65,2277.77,53.59,0.193
gemma2:2b,percent-increase,percentage,10,0,0.0,1,21.18,21.0,53.09,0.184
gemma2:2b,subscription-savings,comparison,10,0,0.0,1,36.88,106.0,52.19,0.192
gemma2:2b,tip-split,percentage,10,0,0.0,1,34.38,34.44,51.95,0.175
llama3.2:3b,allocation,allocation,10,10,1.0,1,12750.0,12750.0,45.78,0.06
llama3.2:3b,compound-interest,growth,10,10,1.0,1,16288.95,16289.0,47.32,0.071
llama3.2:3b,effective-annual-rate,growth,10,0,0.0,1,12.68,12.65,47.86,0.07
llama3.2:3b,marginal-tax,tax,10,0,0.0,1,6307.5,6300.0,47.59,0.073
llama3.2:3b,mortgage-payment,amortization,10,0,0.0,1,1798.65,1767.29,47.45,0.077
llama3.2:3b,percent-increase,percentage,10,10,1.0,1,21.18,21.18,46.92,0.058
llama3.2:3b,subscription-savings,comparison,10,0,0.0,1,36.88,37.88,46.84,0.068
llama3.2:3b,tip-split,percentage,10,0,0.0,1,34.38,34.35,46.16,0.061
phi3.5:3.8b,allocation,allocation,10,10,1.0,1,12750.0,12750.0,28.16,0.095
phi3.5:3.8b,compound-interest,growth,10,0,0.0,1,16288.95,16288.0,27.09,0.092
phi3.5:3.8b,effective-annual-rate,growth,10,10,1.0,1,12.68,12.68,27.88,0.095
phi3.5:3.8b,marginal-tax,tax,10,0,0.0,1,6307.5,7450.5,25.65,0.101
phi3.5:3.8b,mortgage-payment,amortization,10,0,0.0,2,1798.65,1796.39,25.82,0.103
phi3.5:3.8b,percent-increase,percentage,10,10,1.0,1,21.18,21.18,27.91,0.096
phi3.5:3.8b,subscription-savings,comparison,10,10,1.0,1,36.88,36.88,29.12,0.098
phi3.5:3.8b,tip-split,percentage,10,10,1.0,1,34.38,34.38,28.16,0.094
qwen2.5:3b,allocation,allocation,10,10,1.0,1,12750.0,12750.0,51.3,0.067
qwen2.5:3b,compound-interest,growth,10,10,1.0,1,16288.95,16288.95,52.76,0.063
qwen2.5:3b,effective-annual-rate,growth,10,10,1.0,1,12.68,12.68,52.7,0.063
qwen2.5:3b,marginal-tax,tax,10,0,0.0,1,6307.5,6207.5,52.23,0.071
qwen2.5:3b,mortgage-payment,amortization,10,0,0.0,1,1798.65,1929.9,52.66,0.058
qwen2.5:3b,percent-increase,percentage,10,10,1.0,1,21.18,21.18,52.55,0.075
qwen2.5:3b,subscription-savings,comparison,10,10,1.0,1,36.88,36.88,51.68,0.07
qwen2.5:3b,tip-split,percentage,10,10,1.0,1,34.38,34.38,51.38,0.071
