model,scenario,category,reps,correct,accuracy,distinct_answers,expected,modal_answer,median_tokens_per_s,median_ttft_s
gemma2:2b,low-9k-single-band,total,10,0,0.0,1,900.0,0.0,52.37,0.203
gemma2:2b,single-120k,total,10,0,0.0,1,18600.0,36440.0,49.7,0.22
gemma2:2b,single-120k-effective,effective,10,0,0.0,1,15.5,25.42,50.27,0.206
gemma2:2b,single-200k,total,10,0,0.0,1,38032.0,36464.0,52.58,0.204
gemma2:2b,single-46k-just-over,total,10,0,0.0,1,5427.5,6298.0,52.29,0.211
gemma2:2b,single-50k,total,10,0,0.0,1,6307.5,19650.0,51.8,0.189
gemma2:2b,single-50k-deduction,total,10,0,0.0,1,3980.0,93002.0,49.28,0.205
gemma2:2b,single-50k-effective,effective,10,0,0.0,1,12.62,184.37,51.64,0.218
gemma2:2b,single-75k-marginal,marginal,10,0,0.0,1,22.0,32.0,51.75,0.2
gemma2:2b,single-95k-boundary,total,10,0,0.0,1,16290.0,78007.5,49.0,0.216
llama3.2:3b,low-9k-single-band,total,10,0,0.0,1,900.0,0.0,46.3,0.061
llama3.2:3b,single-120k,total,10,0,0.0,1,18600.0,36982.5,47.92,0.061
llama3.2:3b,single-120k-effective,effective,10,0,0.0,1,15.5,36.23,46.57,0.071
llama3.2:3b,single-200k,total,10,0,0.0,1,38032.0,33288.0,47.96,0.063
llama3.2:3b,single-46k-just-over,total,10,0,0.0,1,5427.5,37276.0,46.25,0.059
llama3.2:3b,single-50k,total,10,0,0.0,1,6307.5,63870.0,45.52,0.06
llama3.2:3b,single-50k-deduction,total,10,0,0.0,2,3980.0,37.05,47.81,0.067
llama3.2:3b,single-50k-effective,effective,10,0,0.0,1,12.62,86.24,47.32,0.07
llama3.2:3b,single-75k-marginal,marginal,10,0,0.0,1,22.0,32.0,47.82,0.067
llama3.2:3b,single-95k-boundary,total,10,0,0.0,1,16290.0,92136.0,45.39,0.06
phi3.5:3.8b,low-9k-single-band,total,10,10,1.0,1,900.0,900.0,17.77,0.144
phi3.5:3.8b,single-120k,total,10,10,1.0,1,18600.0,18600.0,25.38,0.098
phi3.5:3.8b,single-120k-effective,effective,10,0,0.0,1,15.5,15.46,22.41,0.097
phi3.5:3.8b,single-200k,total,10,10,1.0,1,38032.0,38032.0,23.2,0.092
phi3.5:3.8b,single-46k-just-over,total,10,1,0.1,2,5427.5,50650.0,20.3,0.086
phi3.5:3.8b,single-50k,total,10,0,0.0,1,6307.5,16300.0,19.38,0.107
phi3.5:3.8b,single-50k-deduction,total,10,0,0.0,1,3980.0,5106.5,23.52,0.1
phi3.5:3.8b,single-50k-effective,effective,10,10,1.0,1,12.62,12.6,22.79,0.098
phi3.5:3.8b,single-75k-marginal,marginal,10,10,1.0,1,22.0,22.0,19.45,0.102
phi3.5:3.8b,single-95k-boundary,total,10,0,0.0,1,16290.0,26190.0,24.59,0.103
qwen2.5:3b,low-9k-single-band,total,10,0,0.0,1,900.0,16190.0,51.2,0.076
qwen2.5:3b,single-120k,total,10,0,0.0,1,18600.0,17540.0,50.91,0.063
qwen2.5:3b,single-120k-effective,effective,10,0,0.0,1,15.5,49.69,49.41,0.091
qwen2.5:3b,single-200k,total,10,0,0.0,1,38032.0,35972.0,51.22,0.054
qwen2.5:3b,single-46k-just-over,total,10,0,0.0,1,5427.5,28532.0,51.8,0.064
qwen2.5:3b,single-50k,total,10,0,0.0,1,6307.5,138832.0,51.02,0.069
qwen2.5:3b,single-50k-deduction,total,10,0,0.0,1,3980.0,44856.0,50.12,0.07
qwen2.5:3b,single-50k-effective,effective,10,0,0.0,1,12.62,74.01,50.86,0.072
qwen2.5:3b,single-75k-marginal,marginal,10,0,0.0,1,22.0,24.0,51.05,0.063
qwen2.5:3b,single-95k-boundary,total,10,0,0.0,1,16290.0,15890.0,50.03,0.065
